block,timestep,rel_l2,mean_cos,cos_dist,frac_tokens_cos_below_0p9,baseline_token_norm_mean,injected_token_norm_mean,norm_ratio
10,18,0.7296606302261353,0.7458229660987854,0.2541770339012146,0.9998579621315002,41.3830451965332,40.32746887207031,0.9744925411010759
10,20,0.7538499236106873,0.7279158234596252,0.27208417654037476,0.9998579621315002,41.03080749511719,39.960182189941406,0.9739067941740316
10,30,0.864300549030304,0.6221750974655151,0.37782490253448486,1.0,39.34455490112305,40.1522331237793,1.0205283354885073
10,40,0.9196006655693054,0.48154690861701965,0.5184530913829803,1.0,37.30922317504883,49.80064392089844,1.334807848644875
10,49,0.9479910731315613,0.35819900035858154,0.6418009996414185,1.0,34.4927978515625,67.18163299560547,1.947700307893759
15,0,0.5091938972473145,0.921237051486969,0.078762948513031,0.19573864340782166,62.778568267822266,58.47276306152344,0.931412816107407
15,2,0.6374056935310364,0.8481226563453674,0.15187734365463257,0.9508522748947144,49.30199432373047,51.106624603271484,1.0366035959456592
15,4,0.6727702021598816,0.8328486084938049,0.16715139150619507,0.9780539870262146,47.12130355834961,47.066497802734375,0.998836921912668
15,6,0.6996514797210693,0.8185121417045593,0.18148785829544067,0.9914772510528564,45.93559265136719,44.9162483215332,0.9778092700888742
15,8,0.7224540114402771,0.8039488792419434,0.19605112075805664,0.9965198636054993,45.01740646362305,42.997344970703125,0.9551271019010777
15,10,0.7410531640052795,0.7896859049797058,0.2103140950202942,0.9982244372367859,44.29814910888672,41.85856628417969,0.9449281093277637
15,12,0.7658231258392334,0.7738091349601746,0.22619086503982544,0.9995738863945007,43.61069869995117,40.78993606567383,0.9353194808071144
15,14,0.7832475304603577,0.7597201466560364,0.24027985334396362,0.9995028376579285,43.00556945800781,40.15831756591797,0.9337934149466384
15,16,0.8013713359832764,0.7389994263648987,0.2610005736351013,0.9995028376579285,42.59618377685547,39.69060134887695,0.9317877290792126
15,18,0.8180883526802063,0.7235141396522522,0.2764858603477478,0.9998579621315002,42.148807525634766,39.10856628417969,0.927868866999238
15,20,0.835723876953125,0.7057814002037048,0.29421859979629517,0.999786913394928,41.76776123046875,38.70854187011719,0.9267564439599429
